Time,Setpoint,SVG
15:59:16,500,SVG1
16:00:02,400,SVG1
16:00:39,350,SVG1
16:01:22,300,SVG1
16:02:27,250,SVG1
16:03:02,200,SVG1
16:03:41,150,SVG1
16:04:17,-500,SVG1
16:05:05,-400,SVG1
16:05:56,-300,SVG1
16:06:36,-200,SVG1
16:07:17,-150,SVG1
16:08:02,0,SVG1
16:09:29,500,SVG2
16:10:41,400,SVG2
16:11:36,300,SVG2
16:13:18,250,SVG2
16:14:28,200,SVG2
16:15:07,0,SVG2
16:16:10,-500,SVG2
16:16:34,-400,SVG2
16:17:16,-350,SVG2
16:18:16,-300,SVG2
16:19:07,-250,SVG2
16:19:49,-200,SVG2
16:20:07,0,SVG2
16:21:19,-500,SVG1
16:21:28,500,SVG2
16:21:31,500,SVG2
16:21:48,1000,SVG2
16:22:01,-1000,SVG1
16:22:54,-990,SVG1
16:23:48,-980,SVG1
16:24:19,-970,SVG1
16:24:51,500,SVG2
16:25:08,-500,SVG1
16:25:17,0,SVG2
16:25:41,-490,SVG1
16:25:52,-485,SVG1
16:26:19,-465,SVG1
16:26:55,-425,SVG1
16:27:43,-325,SVG1
16:28:35,-225,SVG1
16:28:54,-215,SVG1
16:29:29,-200,SVG1
16:30:11,-190,SVG1
16:31:24,-170,SVG1
16:31:47,0,SVG1
