,plant,model,manufacturer
0,ARG_Biosar_CaldenesDelOeste_30MWp,UMG509,Janitza electronics GmbH
1,ARG_SterlinWilson_JinkoSolar_CordilleraSolar_93.3MW,ION8650HV3_noOOR,Schneider Electric
2,AR_CS_Elmya_Cafayate_100MW_3192,ION8650HV3_noOOR,Schneider Electric
3,AUS_BNRG_Cedarbrook_75KWp,InteliPro,ComAp a.s.
4,AU_Biosar_Kiamal_RTU_Test_244.5MWp_3640,UMG604_PPC,Janitza electronics GmbH
5,BRA_Biosar_BomJesusdaLapaHV_BJL,ION7650,Schneider Electric
6,BRA_Biosar_Guimarania_40.99MWp_Subplant_1,PM556X,Schneider Electric
7,BRA_Biosar_Guimarania_41.53MWp_Subplant_2,PM556X,Schneider Electric
8,BRA_Biosar_Guimarania_82.52MWp_HV_SS,SEL-411L_IEC,"Schweitzer Engineering Laboratories, Inc."
9,BRA_Biosar_JesusdaLapaBJL04_25MWp,ION7650,Schneider Electric
10,BRA_Biosar_JesusdaLapaBJL11_25MWp,ION7650,Schneider Electric
11,BRA_Biosar_PiraporaPhase1_185MWp_HV_SS,SEL-411L_IEC,"Schweitzer Engineering Laboratories, Inc."
12,BRA_Biosar_PiraporaPhase1_37MWp_Subplant_10,PM556X,Schneider Electric
13,BRA_Biosar_PiraporaPhase1_37MWp_Subplant_5,PM556X,Schneider Electric
14,BRA_Biosar_PiraporaPhase1_37MWp_Subplant_6,PM556X,Schneider Electric
15,BRA_Biosar_PiraporaPhase1_37MWp_Subplant_7,PM556X,Schneider Electric
16,BRA_Biosar_PiraporaPhase1_37MWp_Subplant_9,PM556X,Schneider Electric
17,BRA_Biosar_PiraporaPhase2_38MWp_Subplant_2,PM556X,Schneider Electric
18,BRA_Biosar_PiraporaPhase2_38MWp_Subplant_3,PM556X,Schneider Electric
19,BRA_Biosar_PiraporaPhase2_38MWp_Subplant_4,PM556X,Schneider Electric
20,BRA_Biosar_PiraporaPhase3_31MWp_Subplant_1,PM556X,Schneider Electric
21,BRA_Biosar_PiraporaPhase3_31MWp_Subplant_11,PM556X,Schneider Electric
22,BRA_Biosar_PiraporaPhase3_31MWp_Subplant_8,PM556X,Schneider Electric
23,BRA_GE_Apodi_162MWp,ION7400v2,Schneider Electric
24,BRA_GE_Quebec_14.3MWp,PM820,Schneider Electric
25,BR_Biosar_Dracena_HV_81MWp_3110,SEL-411L_IEC_Dracena,"Schweitzer Engineering Laboratories, Inc."
26,BR_Biosar_Dracena_Subplant1_27MWp_3129,PM556X,Schneider Electric
27,BR_Biosar_Dracena_Subplant2_27MWp_3130,PM556X,Schneider Electric
28,BR_Biosar_Dracena_Subplant4_27MWp_3131,PM556X,Schneider Electric
29,Barbados_Grupotec_StLucy_12MW,ION7650,Schneider Electric
30,CL_Biosar_ElRoble_10.2MWp,PM556X,Schneider Electric
31,CL_Biosar_La_Talca_10.4MWp_3323,M2M,ABB
32,CL_CarbonFree_Solek_VillaSeca_3MW_3667,ION7400,Schneider Electric
33,CL_Eiffage_Marchihue_3.5MWp_3069,ION8650HV2,Schneider Electric
34,CL_Grenergy_Renovables_La_Estancia_3MWp_3252,ION7400,Schneider Electric
35,CL_Grenergy_Renovables_Placilla_10.8MWp_3251,ION8650HV2,Schneider Electric
36,CL_GroupoSEMI_Jaururo_3MWp_3067,ION7400v2,Schneider Electric
37,CL_GroupoSEMI_San_Isidro_3MWp_3068,ION7400v2,Schneider Electric
38,CL_METKA_EGN_Eclipse_10.43MWp_3322,ION8650HV2,Schneider Electric
39,CL_METKA_EGN_La_Manga_2.98MWp_3229,ION8650HV2,Schneider Electric
40,CL_METKA_EGN_RLA_2.98MWp_3116,ION8650HV2,Schneider Electric
41,CL_PenaBlanca_Antonia_3.17MWp_3628,ION7400v2,Schneider Electric
42,CL_PenaBlanca_Villa_Cruz_3.17MWp_3627,ION7400v2,Schneider Electric
43,CN_Sungrow_HIL_PPC_Testing_3.125MWp_3385,HIL_PPC_METER_SIMULATION,inAccess Networks
44,CY_Sunel_Vassiliko_8MWp_3629,SICAM Q200 7KG97,Siemens
45,Chile_Belectric_Encon_9.4MWp,ION8650HV2,Schneider Electric
46,Chile_Belectric_Montt_3.3MWp,ION8650HV2,Schneider Electric
47,Chile_Belectric_Pedreros_3.6MWp,ION8650HV2,Schneider Electric
48,Chile_Biosar_Bolero_147MW,ION8650_IEC61850,Schneider Electric
49,Chile_Biosar_ElLaurel_8.3MWp,PM556X,Schneider Electric
50,Chile_Biosar_ElSauce_3.5MWp,PM556X,Schneider Electric
51,Chile_Biosar_LaAcacia_9.5MWp,PM556X,Schneider Electric
52,Chile_Sungrow_DiegoDeAlmagro_9.5MW,ION7400,Schneider Electric
53,China_Sungrow_testPlant_PPC,EM6400,Conzerv
54,EG_Voltalia_RASolar_33MWp_3225,SICAM P 7KG85xx,Siemens
55,ES_Grupotec_Almansol_49.995MWp_3479,Satel Grupotec PPC meter,Custom/Unknown manufacturer
56,ES_Grupotec_Tabernas_41.58MWp_3358,Satel Grupotec PPC meter,Custom/Unknown manufacturer
57,Egnatia_UK_ROSKROW_9MWp,UMG604,Janitza electronics GmbH
58,Honduras_Sybac_LasLajas_10MWp,ION8650_DNP3,Schneider Electric
59,IN_SolaireDirect_Kadapa_HV_Master_PPC_350MWp_2954,SICAM T 7KG966,Siemens
60,IT_Biosar_Porto_Torres_I_17MWp_3346,PM556X,Schneider Electric
61,India_LS_SterlinWilson_Waghdari_50MW,Secure Elite 440,Secure Meters Ltd
