Plant,Manufacturer,Model
Chile_Biosar_Bolero_147MW,ABB,ULTRA-TL1400
Egnatia_UK_ROSKROW_9MWp,ABB,PVS800-57-0630KW-B_Qmode
Namibia_AEEPower_RoshPinah_5MWp,ABB,PRO-33.0-TL-OUTD-SX400
ZA_JUWI_Droogfontein_86.248MWp_3374,ABB,PVS980_PPC
South_Africa_STERLING_and_WILSON_90MWp,AEG Power Solutions,Protect PV880
US_Biosar_ENEL_Aurora_Albany_15.23MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_Annandale_9.14MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_Atwater_5.89MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_Chisago_11.1MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_DodgeCenter_9.43MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_Eastwood_8.19MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_Hastings_6.78MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_LakeEmily_6.55MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_LakePulaski_10.92MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_LawrenceCreek_5.92MWp_,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_Montrose_4.5MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_Paynesville_15.23MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_PineIsland_6.5MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_WestFaribault_7.92MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_WestWaconia_12.24MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_EnterSolar_Ameresco_Westerlo-A_2.757MWp_3422,Chint Solar,CPS-SCA36KTL
IT_Biosar_Porto_Torres_I_17MWp_3346,FIMER S.p.A,14015 TL
IT_Biosar_Porto_Torres_I_17MWp_3346,SMA Hellas S.A.,SMA SC2200
BRA_Biosar_Guimarania_40.99MWp_Subplant_1,General Electric Digital Energy,LV5-1MW
BRA_Biosar_Guimarania_41.53MWp_Subplant_2,General Electric Digital Energy,LV5-1MW
BRA_Biosar_JesusdaLapaBJL04_25MWp,General Electric Digital Energy,LV5-1MW
BRA_Biosar_JesusdaLapaBJL11_25MWp,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_10,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_5,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_6,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_7,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_9,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase2_38MWp_Subplant_2,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase2_38MWp_Subplant_3,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase2_38MWp_Subplant_4,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase3_31MWp_Subplant_1,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase3_31MWp_Subplant_11,General Electric Digital Energy,LV5-1MW
BRA_Biosar_PiraporaPhase3_31MWp_Subplant_8,General Electric Digital Energy,LV5-1MW
BRA_GE_Apodi_162MWp,General Electric Digital Energy,LV5-PLC_Lite
BRA_GE_Quebec_14.3MWp,General Electric Digital Energy,LV5-PLC-PPC
ARG_SterlinWilson_JinkoSolar_CordilleraSolar_93.3MW,"Huawei Technologies CO., LTD.",SUN2000 42KTL
CL_GroupoSEMI_Jaururo_3MWp_3067,"Huawei Technologies CO., LTD.",SUN2000 95KTL
CL_GroupoSEMI_San_Isidro_3MWp_3068,"Huawei Technologies CO., LTD.",SUN2000 95KTL
CY_Sunel_Vassiliko_8MWp_3629,"Huawei Technologies CO., LTD.",SUN2000 95KTL
ES_Grupotec_Almansol_49.995MWp_3479,"Huawei Technologies CO., LTD.",SUN2000 95KTL
ES_Grupotec_Tabernas_41.58MWp_3358,"Huawei Technologies CO., LTD.",SUN2000 100KTL
Test_Huawei_PPC_Slave_PPC_1,"Huawei Technologies CO., LTD.",SmartLogger
Test_Huawei_PPC_Slave_PPC_2,"Huawei Technologies CO., LTD.",SmartLogger
Test_Huawei_PPC_Slave_PPC_3,"Huawei Technologies CO., LTD.",SmartLogger
UK_BF_Retrofit_Salhouse_4.99MWp,"Huawei Technologies CO., LTD.",SUN2000-20KTL-V2
UK_BF_Retrofit_Trethosa_4.77MWp,"Huawei Technologies CO., LTD.",SUN2000-20KTL-V2
UK_EGN_LS_Finvoy_5.94MWp,"Huawei Technologies CO., LTD.",SUN2000 36KTL
UK_EGN_LS_Gibson_6.48MWp,"Huawei Technologies CO., LTD.",SUN2000 36KTL
UK_EGN_LS_Henllys_5MW,"Huawei Technologies CO., LTD.","SUN2000 33KTL', 'SUN2000-20KTL-V2"
UK_EGN_LS_Maghaberry_27.2MWp,"Huawei Technologies CO., LTD.",SUN2000 55KTL_SPP
UK_Grupotec_Pilkington_2.29MWp_3223,"Huawei Technologies CO., LTD.",SUN2000 60KTL-HV-D1-001
UK_SC_Isle_of_Sheppey_1.5MWp,"Huawei Technologies CO., LTD.","SUN2000 33KTL PPC-BROADCAST-NOSEND', 'SUN2000 36KTL PPC-BROADCAST-NOSEND', 'SUN2000 36KTL PPC-BROADCAST"
UK_SC_NewtonDownsFarm_5MWp,"Huawei Technologies CO., LTD.",SUN2000 36KTL
CL_Eiffage_Marchihue_3.5MWp_3069,Ingeteam Inc.,SUN PowerMax B Series
CL_Grenergy_Renovables_La_Estancia_3MWp_3252,Ingeteam Inc.,SUN PowerMax B Series
CL_Grenergy_Renovables_Placilla_10.8MWp_3251,Ingeteam Inc.,SUN PowerMax B Series
Philippines_STERLING_and_WILSON_Digos_28.9MWp,Ingeteam Inc.,Ingecon Sun
UAE_SW_ADWEA_Simultation,Ingeteam Inc.,SUN PowerMax B Series SIMULATION
UAE_Sterling_and_Wilson_Adwea_1177MWp,Ingeteam Inc.,SUN PowerMax B Series
Honduras_Sybac_LasLajas_10MWp,KACO new energy GmbH,POWADOR 72.0 TL3
Pacific_Solar_Honduras_24MWp,KACO new energy GmbH,POWADOR 72.0 TL3
UK_ETS_SeatonRoad_4.2MWp,KACO new energy GmbH,BLUEPLANET 50.0 TL3
VN_VPW_HAM_KIEM_49MWp_3106,Nari_RTU,Nari_Ham_Kiem_Sineng_PPC
BRA_Biosar_BomJesusdaLapaHV_BJL,None,None
BRA_Biosar_Guimarania_82.52MWp_HV_SS,None,None
BRA_Biosar_PiraporaPhase1_185MWp_HV_SS,None,None
BR_Biosar_Dracena_HV_81MWp_3110,None,None
IN_SolaireDirect_Kadapa_HV_Master_PPC_350MWp_2954,None,None
PK_Sungrow_Pakistan_50MWp_3324,None,None
SA_Mahindra_Sakaka_300MWp_3038,None,None
Test_Huawei_PPC_Master_PPC,None,None
VN_Sungrow_Fuji_40MWp_2864,None,None
Barbados_Grupotec_StLucy_12MW,PowerElectronics,FREESUN HE PPC_PF100
CL_Biosar_ElRoble_10.2MWp,PowerElectronics,HEC Plus 1500VDC 2G PPC#_DaleFarm
CL_Biosar_La_Talca_10.4MWp_3323,PowerElectronics,HEC Plus 1500VDC 2G PPC#_DaleFarm
CL_METKA_EGN_Eclipse_10.43MWp_3322,PowerElectronics,HEC Plus 1500VDC 2G PPC#_DaleFarm
CL_METKA_EGN_La_Manga_2.98MWp_3229,PowerElectronics,HEC Plus 1500VDC 2G PPC#_DaleFarm
CL_METKA_EGN_RLA_2.98MWp_3116,PowerElectronics,HEC Plus 1500VDC 2G PPC#_DaleFarm
Chile_Biosar_ElLaurel_8.3MWp,PowerElectronics,HEC Plus 1500VDC 2G PPC#_DaleFarm
Chile_Biosar_ElSauce_3.5MWp,PowerElectronics,HEC Plus 1500VDC 2G PPC#_DaleFarm
Chile_Biosar_LaAcacia_9.5MWp,PowerElectronics,HEC Plus 1500VDC 2G PPC#_DaleFarm
EG_Voltalia_RASolar_33MWp_3225,PowerElectronics,HEMK FS 3225K
UK_Biosar_LS_MeadowFarm_4.99MWp,PowerElectronics,FREESUN HE PPC
UK_Biosar_LS_MorfaFarm_2MWp,PowerElectronics,FREESUN HE PPC
UK_Biosar_LS_Sharland_2.77MWp,PowerElectronics,FREESUN HE PPC
UK_EGN_CS_CockettValley_4.9MWp,PowerElectronics,FREESUN HE PPC
UK_EGN_LS_Bolsovermoor_5MW,PowerElectronics,FREESUN HE PPC
UK_EGN_LS_GreenLaneFarm_4.2MWp,PowerElectronics,FREESUN HE PPC
UK_EGN_LS_NorthTenement_4.9MWp,PowerElectronics,FREESUN HE PPC
UK_Grupotec_HoltWood_5MW,PowerElectronics,FREESUN HE PPC_PF100
UK_Grupotec_LawnLane_5MW,PowerElectronics,FREESUN HE PPC
UK_RetrofittedbyLS_StFrancis,PowerElectronics,FREESUN HE PPC
UK_Voltalia_DaleFarm_4.99MWp,PowerElectronics,HEC Plus 1500VDC 2G PPC#_DaleFarm
US_Biosar_ENEL_Aurora_Waseca_15.9MWp,BONFIGLIOLI VECTRON GmbH,RPS TL-UL 213
US_Biosar_ENEL_Aurora_Waseca_15.9MWp,Santerno Elettronica,Sunway TG760 1000V TL-NA PPC
UK_EGN_CS_GreateHounbeare_4.9MWp,Schneider Electric,XC680
VN_Sineng_Electric_Phan_Thiet_39MWp_3227,Sineng Electric,EP_Phan_Thiet
AUS_BNRG_Cedarbrook_75KWp,SMA,SMA STP20000TL_PPC
AU_Biosar_Kiamal_RTU_Test_244.5MWp_3640,SMA Hellas S.A.,SMA SC2200
Italy_Biosar_Assemini_18MWp,SMA Hellas S.A.,SMA SC2200
LC_Grupotec_Lucelec_7AB,SMA Hellas S.A.,Sunny Central 1000CP XT
LC_Grupotec_Lucelec_7C,SMA Hellas S.A.,Sunny Central 1000CP XT
Philippines_STERLING_and_WILSON_Clarks_23MWp,SMA Hellas S.A.,Sunny Central 1000CP XT
TN_METKA_ADAM_Simulation_5MWp_3702,SMA Hellas S.A.,SMA SC2200_SIM
UK_ArunConstruction_Westhampnett_7.5MWp,SMA Hellas S.A.,SMA SC2200
UK_BIOSAR_LS_CROOKEDSTONE_4.9MW,SMA Hellas S.A.,SMA SC2200
UK_Biosar_LS_BrickKlin_5MW,SMA Hellas S.A.,"SMA SC2200', 'SMA SC850CP"
UK_Biosar_LS_Millar_7.2MWp,SMA Hellas S.A.,"SMA SC2200#_MILLAR', 'SMA SC850CP"
UK_Biosar_LS_NICluster_21.6MWp,SMA Hellas S.A.,SMA SC2200
UK_Biosar_LS_Stragglethorpe_5MW,SMA Hellas S.A.,SMA SC2200
UK_LSRetrofit_Dunsfold,Solarmax - Sputnik Engineering International AG,"Solarmax_15MT3_APC', 'Solarmax_15MT2_APC"
US_IKEA_Columbus_1.2MWp,Solectria Renewables,YASKAWA PVI-36TL
ARG_Biosar_CaldenesDelOeste_30MWp,SunGrow,SG2500HV-MV-V21 (2M)
