Plant,Manufacturer,Model
ARG_Biosar_CaldenesDelOeste_30MWp,Janitza electronics GmbH,UMG509
ARG_SterlinWilson_JinkoSolar_CordilleraSolar_93.3MW,Schneider Electric,ION8650HV3_noOOR
AR_CS_Elmya_Cafayate_100MW_3192,Schneider Electric,ION8650HV3_noOOR
AUS_BNRG_Cedarbrook_75KWp,ComAp a.s.,InteliPro
AU_Biosar_Kiamal_RTU_Test_244.5MWp_3640,Janitza electronics GmbH,UMG604_PPC
BRA_Biosar_BomJesusdaLapaHV_BJL,Schneider Electric,ION7650
BRA_Biosar_Guimarania_40.99MWp_Subplant_1,Schneider Electric,PM556X
BRA_Biosar_Guimarania_41.53MWp_Subplant_2,Schneider Electric,PM556X
BRA_Biosar_Guimarania_82.52MWp_HV_SS,"Schweitzer Engineering Laboratories, Inc.",SEL-411L_IEC
BRA_Biosar_JesusdaLapaBJL04_25MWp,Schneider Electric,ION7650
BRA_Biosar_JesusdaLapaBJL11_25MWp,Schneider Electric,ION7650
BRA_Biosar_PiraporaPhase1_185MWp_HV_SS,"Schweitzer Engineering Laboratories, Inc.",SEL-411L_IEC
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_10,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_5,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_6,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_7,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase1_37MWp_Subplant_9,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase2_38MWp_Subplant_2,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase2_38MWp_Subplant_3,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase2_38MWp_Subplant_4,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase3_31MWp_Subplant_1,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase3_31MWp_Subplant_11,Schneider Electric,PM556X
BRA_Biosar_PiraporaPhase3_31MWp_Subplant_8,Schneider Electric,PM556X
BRA_GE_Apodi_162MWp,Schneider Electric,ION7400v2
BRA_GE_Quebec_14.3MWp,Schneider Electric,PM820
BR_Biosar_Dracena_HV_81MWp_3110,"Schweitzer Engineering Laboratories, Inc.",SEL-411L_IEC_Dracena
BR_Biosar_Dracena_Subplant1_27MWp_3129,Schneider Electric,PM556X
BR_Biosar_Dracena_Subplant2_27MWp_3130,Schneider Electric,PM556X
BR_Biosar_Dracena_Subplant4_27MWp_3131,Schneider Electric,PM556X
Barbados_Grupotec_StLucy_12MW,Schneider Electric,ION7650
CL_Biosar_ElRoble_10.2MWp,Schneider Electric,PM556X
CL_Biosar_La_Talca_10.4MWp_3323,ABB,M2M
CL_CarbonFree_Solek_VillaSeca_3MW_3667,Schneider Electric,ION7400
CL_Eiffage_Marchihue_3.5MWp_3069,Schneider Electric,ION8650HV2
CL_Grenergy_Renovables_La_Estancia_3MWp_3252,Schneider Electric,ION8650HV2
CL_Grenergy_Renovables_Placilla_10.8MWp_3251,Schneider Electric,ION8650HV2
CL_GroupoSEMI_Jaururo_3MWp_3067,Schneider Electric,ION7400v2
CL_GroupoSEMI_San_Isidro_3MWp_3068,Schneider Electric,ION7400v2
CL_METKA_EGN_Eclipse_10.43MWp_3322,Schneider Electric,ION8650HV2
CL_METKA_EGN_La_Manga_2.98MWp_3229,Schneider Electric,ION8650HV2
CL_METKA_EGN_RLA_2.98MWp_3116,Schneider Electric,ION8650HV2
CL_PenaBlanca_Antonia_3.17MWp_3628,Schneider Electric,ION7400v2
CL_PenaBlanca_Villa_Cruz_3.17MWp_3627,Schneider Electric,ION7400v2
CN_Sungrow_HIL_PPC_Testing_3.125MWp_3385,inAccess Networks,HIL_PPC_METER_SIMULATION
CY_Sunel_Vassiliko_8MWp_3629,Siemens,SICAM Q200 7KG97
Chile_Belectric_Encon_9.4MWp,Schneider Electric,ION8650HV2
Chile_Belectric_Montt_3.3MWp,Schneider Electric,ION8650HV2
Chile_Belectric_Pedreros_3.6MWp,Schneider Electric,ION8650HV2
Chile_Biosar_Bolero_147MW,Schneider Electric,ION8650_IEC61850
Chile_Biosar_ElLaurel_8.3MWp,Schneider Electric,PM556X
Chile_Biosar_ElSauce_3.5MWp,Schneider Electric,PM556X
Chile_Biosar_LaAcacia_9.5MWp,Schneider Electric,PM556X
Chile_Sungrow_DiegoDeAlmagro_9.5MW,Schneider Electric,ION7400
China_Sungrow_testPlant_PPC,Conzerv,EM6400
EG_Voltalia_RASolar_33MWp_3225,Siemens,SICAM P 7KG85xx
ES_Grupotec_Almansol_49.995MWp_3479,Custom/Unknown manufacturer,Satel Grupotec PPC meter
ES_Grupotec_Tabernas_41.58MWp_3358,Custom/Unknown manufacturer,Satel Grupotec PPC meter
Egnatia_UK_ROSKROW_9MWp,Janitza electronics GmbH,UMG604
Honduras_Sybac_LasLajas_10MWp,Schneider Electric,ION8650_DNP3
